1709124507.476734 server started (31581): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1709124507.476760 on Linux 6.6.16-2-MANJARO #1 SMP PREEMPT_DYNAMIC Sat Feb 10 09:40:02 UTC 2024
1709124507.476766 using libevent 2.1.12-stable poll
1709124507.476767 using ncurses 6.4 20230520
1709124507.476882 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1709124507.476883 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1709124507.476885 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1709124507.476886 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1709124507.476887 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1709124507.476888 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1709124507.476890 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1709124507.476891 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1709124507.476892 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1709124507.476893 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1709124507.476895 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1709124507.476896 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1709124507.476902 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1709124507.476904 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1709124507.476905 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1709124507.476907 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1709124507.476908 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1709124507.476909 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1709124507.476910 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1709124507.476912 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1709124507.476913 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1709124507.476914 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1709124507.476915 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1709124507.476916 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1709124507.476918 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1709124507.476919 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1709124507.476920 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1709124507.476921 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1709124507.476923 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1709124507.476924 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1709124507.476925 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1709124507.476926 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1709124507.476927 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1709124507.476931 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1709124507.476932 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1709124507.476934 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1709124507.476935 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1709124507.476936 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1709124507.476938 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1709124507.476939 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1709124507.476940 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1709124507.476941 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1709124507.476943 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1709124507.476944 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1709124507.476945 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1709124507.476946 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1709124507.476947 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1709124507.476949 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1709124507.476950 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1709124507.476951 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1709124507.476953 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1709124507.476954 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1709124507.476955 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1709124507.476956 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1709124507.476958 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1709124507.476959 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1709124507.476960 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1709124507.476962 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1709124507.476963 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1709124507.476964 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1709124507.476966 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1709124507.476967 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1709124507.476968 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1709124507.476970 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1709124507.476971 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1709124507.476972 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1709124507.476974 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1709124507.476975 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1709124507.476976 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1709124507.476980 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1709124507.476982 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1709124507.476983 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1709124507.476984 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1709124507.476986 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1709124507.476987 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1709124507.476988 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1709124507.476990 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1709124507.476991 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1709124507.476992 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1709124507.476994 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1709124507.476995 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1709124507.476996 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1709124507.476997 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1709124507.476999 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1709124507.477000 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1709124507.477001 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1709124507.477003 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1709124507.477004 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1709124507.477005 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1709124507.477007 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1709124507.477008 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1709124507.477009 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1709124507.477010 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1709124507.477012 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1709124507.477015 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1709124507.477016 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1709124507.477018 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1709124507.477019 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1709124507.477020 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1709124507.477022 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1709124507.477023 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1709124507.477024 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1709124507.477026 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1709124507.477027 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1709124507.477029 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1709124507.477030 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1709124507.477031 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1709124507.477032 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1709124507.477034 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1709124507.477035 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1709124507.477036 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1709124507.477038 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1709124507.477039 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1709124507.477040 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1709124507.477042 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1709124507.477043 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1709124507.477044 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1709124507.477046 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1709124507.477047 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1709124507.477048 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1709124507.477050 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1709124507.477051 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1709124507.477052 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1709124507.477054 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1709124507.477058 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1709124507.477059 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1709124507.477060 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1709124507.477062 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1709124507.477063 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1709124507.477064 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1709124507.477066 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1709124507.477067 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1709124507.477068 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1709124507.477070 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1709124507.477071 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1709124507.477072 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1709124507.477074 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1709124507.477075 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1709124507.477076 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1709124507.477078 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1709124507.477079 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1709124507.477080 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1709124507.477082 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1709124507.477083 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1709124507.477084 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1709124507.477088 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1709124507.477090 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1709124507.477091 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1709124507.477093 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1709124507.477094 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1709124507.477096 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1709124507.477097 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1709124507.477098 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1709124507.477100 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1709124507.477101 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1709124507.477103 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1709124507.477104 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1709124507.477105 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1709124507.477107 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1709124507.477108 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1709124507.477110 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1709124507.477111 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1709124507.477112 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1709124507.477114 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1709124507.477115 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1709124507.477117 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1709124507.477118 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1709124507.477119 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1709124507.477121 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1709124507.477122 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1709124507.477133 yylex_token: end at WS
1709124507.477134 yylex_token: bind
1709124507.477136 yylex_token: end at WS
1709124507.477137 yylex_token: -N
1709124507.477139 yylex_token: end at WS
1709124507.477140 yylex_token: Send the prefix key
1709124507.477141 yylex_token: end at WS
1709124507.477142 yylex_token: C-b
1709124507.477144 yylex_token: end at WS
1709124507.477145 yylex_token: send-prefix
1709124507.477148 cmd_parse_build_commands 0:0: bind
1709124507.477152 cmd_parse_build_commands 0:1: -N
1709124507.477154 cmd_parse_build_commands 0:2: Send the prefix key
1709124507.477155 cmd_parse_build_commands 0:3: C-b
1709124507.477157 cmd_parse_build_commands 0:4 0:0: send-prefix
1709124507.477163 cmd_parse_build_commands 0:0: send-prefix
1709124507.477169 args_parse: flags end at 1 of 1
1709124507.477174 cmd_parse_build_commands: send-prefix
1709124507.477176 args_parse_flags: next -N
1709124507.477178 args_parse_flag_argument: -N = Send the prefix key
1709124507.477179 args_parse_flags: next C-b
1709124507.477180 args_parse: flags end at 3 of 5
1709124507.477182 args_parse: 3 = C-b (type STRING)
1709124507.477184 args_parse: 4 = send-prefix (type COMMANDS)
1709124507.477193 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1709124507.477197 cmdq_get_command: [bind-key/0x55bdeabccb80] group 2
1709124507.477198 cmdq_append <global>: [bind-key/0x55bdeabccb80]
1709124507.477201 yylex_token: end at WS
1709124507.477202 yylex_token: bind
1709124507.477203 yylex_token: end at WS
1709124507.477204 yylex_token: -N
1709124507.477206 yylex_token: end at WS
1709124507.477207 yylex_token: Rotate through the panes
1709124507.477208 yylex_token: end at WS
1709124507.477209 yylex_token: C-o
1709124507.477210 yylex_token: end at WS
1709124507.477212 yylex_token: rotate-window
1709124507.477214 cmd_parse_build_commands 0:0: bind
1709124507.477215 cmd_parse_build_commands 0:1: -N
1709124507.477216 cmd_parse_build_commands 0:2: Rotate through the panes
1709124507.477218 cmd_parse_build_commands 0:3: C-o
1709124507.477219 cmd_parse_build_commands 0:4 0:0: rotate-window
1709124507.477221 cmd_parse_build_commands 0:0: rotate-window
1709124507.477224 args_parse: flags end at 1 of 1
1709124507.477225 cmd_parse_build_commands: rotate-window
1709124507.477227 args_parse_flags: next -N
1709124507.477228 args_parse_flag_argument: -N = Rotate through the panes
1709124507.477229 args_parse_flags: next C-o
1709124507.477230 args_parse: flags end at 3 of 5
1709124507.477232 args_parse: 3 = C-o (type STRING)
1709124507.477233 args_parse: 4 = rotate-window (type COMMANDS)
1709124507.477237 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1709124507.477239 cmdq_get_command: [bind-key/0x55bdeabcd210] group 10
1709124507.477241 cmdq_append <global>: [bind-key/0x55bdeabcd210]
1709124507.477243 yylex_token: end at WS
1709124507.477244 yylex_token: bind
1709124507.477245 yylex_token: end at WS
1709124507.477246 yylex_token: -N
1709124507.477248 yylex_token: end at WS
1709124507.477249 yylex_token: Suspend the current client
1709124507.477250 yylex_token: end at WS
1709124507.477251 yylex_token: C-z
1709124507.477253 yylex_token: end at WS
1709124507.477254 yylex_token: suspend-client
1709124507.477255 cmd_parse_build_commands 0:0: bind
1709124507.477256 cmd_parse_build_commands 0:1: -N
1709124507.477258 cmd_parse_build_commands 0:2: Suspend the current client
1709124507.477259 cmd_parse_build_commands 0:3: C-z
1709124507.477260 cmd_parse_build_commands 0:4 0:0: suspend-client
1709124507.477262 cmd_parse_build_commands 0:0: suspend-client
1709124507.477265 args_parse: flags end at 1 of 1
1709124507.477267 cmd_parse_build_commands: suspend-client
1709124507.477268 args_parse_flags: next -N
1709124507.477269 args_parse_flag_argument: -N = Suspend the current client
1709124507.477271 args_parse_flags: next C-z
1709124507.477272 args_parse: flags end at 3 of 5
1709124507.477273 args_parse: 3 = C-z (type STRING)
1709124507.477274 args_parse: 4 = suspend-client (type COMMANDS)
1709124507.477278 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1709124507.477280 cmdq_get_command: [bind-key/0x55bdeabcd9f0] group 18
1709124507.477281 cmdq_append <global>: [bind-key/0x55bdeabcd9f0]
1709124507.477283 yylex_token: end at WS
1709124507.477284 yylex_token: bind
1709124507.477285 yylex_token: end at WS
1709124507.477286 yylex_token: -N
1709124507.477288 yylex_token: end at WS
1709124507.477289 yylex_token: Select next layout
1709124507.477303 yylex_token: end at WS
1709124507.477304 yylex_token: Space
1709124507.477305 yylex_token: end at WS
1709124507.477306 yylex_token: next-layout
1709124507.477308 cmd_parse_build_commands 0:0: bind
1709124507.477309 cmd_parse_build_commands 0:1: -N
1709124507.477310 cmd_parse_build_commands 0:2: Select next layout
1709124507.477312 cmd_parse_build_commands 0:3: Space
1709124507.477313 cmd_parse_build_commands 0:4 0:0: next-layout
1709124507.477315 cmd_parse_build_commands 0:0: next-layout
1709124507.477317 args_parse: flags end at 1 of 1
1709124507.477319 cmd_parse_build_commands: next-layout
1709124507.477320 args_parse_flags: next -N
1709124507.477321 args_parse_flag_argument: -N = Select next layout
1709124507.477322 args_parse_flags: next Space
1709124507.477323 args_parse: flags end at 3 of 5
1709124507.477325 args_parse: 3 = Space (type STRING)
1709124507.477326 args_parse: 4 = next-layout (type COMMANDS)
1709124507.477330 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1709124507.477332 cmdq_get_command: [bind-key/0x55bdeabd0030] group 26
1709124507.477333 cmdq_append <global>: [bind-key/0x55bdeabd0030]
1709124507.477335 yylex_token: end at WS
1709124507.477336 yylex_token: bind
1709124507.477337 yylex_token: end at WS
1709124507.477338 yylex_token: -N
1709124507.477340 yylex_token: end at WS
1709124507.477341 yylex_token: Break pane to a new window
1709124507.477342 yylex_token: end at WS
1709124507.477343 yylex_token: !
1709124507.477344 yylex_token: end at WS
1709124507.477345 yylex_token: break-pane
1709124507.477347 cmd_parse_build_commands 0:0: bind
1709124507.477348 cmd_parse_build_commands 0:1: -N
1709124507.477350 cmd_parse_build_commands 0:2: Break pane to a new window
1709124507.477351 cmd_parse_build_commands 0:3: !
1709124507.477352 cmd_parse_build_commands 0:4 0:0: break-pane
1709124507.477354 cmd_parse_build_commands 0:0: break-pane
1709124507.477355 args_parse: flags end at 1 of 1
1709124507.477357 cmd_parse_build_commands: break-pane
1709124507.477358 args_parse_flags: next -N
1709124507.477360 args_parse_flag_argument: -N = Break pane to a new window
1709124507.477361 args_parse_flags: next !
1709124507.477362 args_parse: flags end at 3 of 5
1709124507.477363 args_parse: 3 = ! (type STRING)
1709124507.477364 args_parse: 4 = break-pane (type COMMANDS)
1709124507.477368 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1709124507.477370 cmdq_get_command: [bind-key/0x55bdeabd0570] group 34
1709124507.477371 cmdq_append <global>: [bind-key/0x55bdeabd0570]
1709124507.477387 yylex_token: end at WS
1709124507.477390 yylex_token: bind
1709124507.477391 yylex_token: end at WS
1709124507.477392 yylex_token: -N
1709124507.477393 yylex_token: end at WS
1709124507.477394 yylex_token: Split window vertically
1709124507.477395 yylex_token: end at WS
1709124507.477396 yylex_token: "
1709124507.477398 yylex_token: end at WS
1709124507.477399 yylex_token: split-window
1709124507.477414 cmd_parse_build_commands 0:0: bind
1709124507.477417 cmd_parse_build_commands 0:1: -N
1709124507.477418 cmd_parse_build_commands 0:2: Split window vertically
1709124507.477419 cmd_parse_build_commands 0:3: "
1709124507.477421 cmd_parse_build_commands 0:4 0:0: split-window
1709124507.477423 cmd_parse_build_commands 0:0: split-window
1709124507.477426 args_parse: flags end at 1 of 1
1709124507.477428 cmd_parse_build_commands: split-window
1709124507.477429 args_parse_flags: next -N
1709124507.477430 args_parse_flag_argument: -N = Split window vertically
1709124507.477432 args_parse_flags: next "
1709124507.477433 args_parse: flags end at 3 of 5
1709124507.477434 args_parse: 3 = " (type STRING)
1709124507.477436 args_parse: 4 = split-window (type COMMANDS)
1709124507.477440 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1709124507.477442 cmdq_get_command: [bind-key/0x55bdeabd08c0] group 42
1709124507.477444 cmdq_append <global>: [bind-key/0x55bdeabd08c0]
1709124507.477445 yylex_token: end at WS
1709124507.477451 yylex_token: bind
1709124507.477452 yylex_token: end at WS
1709124507.477453 yylex_token: -N
1709124507.477455 yylex_token: end at WS
1709124507.477456 yylex_token: List all paste buffers
1709124507.477457 yylex_token: end at WS
1709124507.477458 yylex_token: #
1709124507.477459 yylex_token: end at WS
1709124507.477460 yylex_token: list-buffers
1709124507.477462 cmd_parse_build_commands 0:0: bind
1709124507.477463 cmd_parse_build_commands 0:1: -N
1709124507.477465 cmd_parse_build_commands 0:2: List all paste buffers
1709124507.477466 cmd_parse_build_commands 0:3: #
1709124507.477467 cmd_parse_build_commands 0:4 0:0: list-buffers
1709124507.477469 cmd_parse_build_commands 0:0: list-buffers
1709124507.477472 args_parse: flags end at 1 of 1
1709124507.477473 cmd_parse_build_commands: list-buffers
1709124507.477475 args_parse_flags: next -N
1709124507.477476 args_parse_flag_argument: -N = List all paste buffers
1709124507.477477 args_parse_flags: next #
1709124507.477478 args_parse: flags end at 3 of 5
1709124507.477480 args_parse: 3 = # (type STRING)
1709124507.477481 args_parse: 4 = list-buffers (type COMMANDS)
1709124507.477485 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1709124507.477487 cmdq_get_command: [bind-key/0x55bdeabd0ea0] group 50
1709124507.477489 cmdq_append <global>: [bind-key/0x55bdeabd0ea0]
1709124507.477490 yylex_token: end at WS
1709124507.477491 yylex_token: bind
1709124507.477492 yylex_token: end at WS
1709124507.477493 yylex_token: -N
1709124507.477494 yylex_token: end at WS
1709124507.477496 yylex_token: Rename current session
1709124507.477497 yylex_token: end at WS
1709124507.477498 yylex_token: $
